lemma,pos,count,freq_per_100000
,ADJ,1,0.0075385042295908755
,NOUN,1,0.0075385042295908755
a,ADJ,10,0.07538504229590876
a,ADP,2,0.015077008459181751
a,ADV,110,0.8292354652549964
a,CCONJ,6,0.04523102537754525
a,DET,304795,2297.698396658151
a,INTJ,1,0.0075385042295908755
a,NOUN,1761,13.275305948309532
a,NUM,2,0.015077008459181751
a,PROPN,1919,14.466389616584891
a,PUNCT,84,0.6332343552856335
a,SYM,3,0.022615512688772627
a,VERB,5,0.03769252114795438
a,X,375,2.826939086096578
aaa,NOUN,2,0.015077008459181751
aaa,PROPN,99,0.7463119187294966
aah,NOUN,2,0.015077008459181751
aah,PROPN,3,0.022615512688772627
aah,VERB,5,0.03769252114795438
aahing,NOUN,1,0.0075385042295908755
aal,ADJ,6,0.04523102537754525
aal,NOUN,19,0.14323158036222663
aal,PROPN,23,0.17338559728059014
aal,VERB,4,0.030154016918363502
aardvark,PROPN,2,0.015077008459181751
aaron,PROPN,53,0.39954072416831643
aaronic,PROPN,1,0.0075385042295908755
aarp,NOUN,6,0.04523102537754525
aarp,PROPN,22,0.16584709305099926
aarp,VERB,2,0.015077008459181751
aas,PROPN,3,0.022615512688772627
aba,NOUN,9,0.06784653806631788
aba,PROPN,46,0.3467711945611803
aback,ADV,14,0.10553905921427226
abacus,NOUN,5,0.03769252114795438
abacus,PROPN,4,0.030154016918363502
abaft,VERB,1,0.0075385042295908755
abalone,NOUN,9,0.06784653806631788
abalone,PROPN,1,0.0075385042295908755
abalone,VERB,1,0.0075385042295908755
abandon,NOUN,19,0.14323158036222663
abandon,PROPN,3,0.022615512688772627
abandon,VERB,497,3.746636602106665
abandoner,NOUN,1,0.0075385042295908755
abandoning,NOUN,4,0.030154016918363502
abandoning,VERB,1,0.0075385042295908755
abandonment,NOUN,34,0.25630914380608977
abas,PROPN,1,0.0075385042295908755
abase,VERB,3,0.022615512688772627
abasement,NOUN,1,0.0075385042295908755
abash,VERB,3,0.022615512688772627
abashed,VERB,1,0.0075385042295908755
abashment,NOUN,1,0.0075385042295908755
abasic,NOUN,18,0.13569307613263576
abasic,PROPN,1,0.0075385042295908755
abate,PROPN,7,0.05276952960713613
abate,VERB,14,0.10553905921427226
abatement,NOUN,8,0.060308033836727004
abating,ADJ,1,0.0075385042295908755
abattoir,ADJ,1,0.0075385042295908755
abattoir,NOUN,2,0.015077008459181751
abattoir,PROPN,1,0.0075385042295908755
abaxial,NOUN,1,0.0075385042295908755
abba,PROPN,3,0.022615512688772627
abbas,PROPN,2,0.015077008459181751
abbasid,PROPN,1,0.0075385042295908755
abbaye,PROPN,4,0.030154016918363502
abbess,NOUN,1,0.0075385042295908755
abbesses,PROPN,3,0.022615512688772627
abbey,NOUN,42,0.31661717764281677
abbey,PROPN,63,0.4749257664642252
abbeys,PROPN,1,0.0075385042295908755
abbot,NOUN,8,0.060308033836727004
abbot,PROPN,14,0.10553905921427226
abbot,VERB,1,0.0075385042295908755
abbott,PROPN,36,0.2713861522652715
abbreviate,VERB,49,0.36938670724995293
abbreviated,ADJ,8,0.060308033836727004
abbreviated,PROPN,1,0.0075385042295908755
abbreviating,NOUN,2,0.015077008459181751
abbreviation,NOUN,180,1.3569307613263577
abbreviations,PROPN,155,1.1684681555865857
abby,PROPN,17,0.12815457190304488
abc,NOUN,9,0.06784653806631788
abc,PROPN,522,3.935099207846437
abcissa,NOUN,1,0.0075385042295908755
abd,NOUN,1,0.0075385042295908755
abd,PROPN,18,0.13569307613263576
abdal,PROPN,1,0.0075385042295908755
abdicate,NOUN,1,0.0075385042295908755
abdicate,VERB,17,0.12815457190304488
abdicated,ADJ,1,0.0075385042295908755
abdication,NOUN,14,0.10553905921427226
abdomen,NOUN,3,0.022615512688772627
abdomen,PROPN,4,0.030154016918363502
abdominal,ADJ,87,0.6558498679744061
abdominal,NOUN,2,0.015077008459181751
abdominal,PROPN,5,0.03769252114795438
abducens,ADJ,1,0.0075385042295908755
abducens,PROPN,2,0.015077008459181751
abduct,NOUN,1,0.0075385042295908755
abduct,VERB,16,0.12061606767345401
abducted,ADJ,1,0.0075385042295908755
abducted,NOUN,1,0.0075385042295908755
abductee,NOUN,2,0.015077008459181751
abduction,NOUN,19,0.14323158036222663
abduction,PROPN,2,0.015077008459181751
abeam,NOUN,1,0.0075385042295908755
abecedarium,PROPN,3,0.022615512688772627
abecedarius,NOUN,2,0.015077008459181751
abel,PROPN,13,0.09800055498468138
abele,PROPN,1,0.0075385042295908755
abelmoschus,PROPN,1,0.0075385042295908755
aberdeen,PROPN,17,0.12815457190304488
aberrancy,NOUN,14,0.10553905921427226
aberrant,ADJ,105,0.791542944107042
aberrant,PROPN,1,0.0075385042295908755
aberrantly,ADV,14,0.10553905921427226
aberration,NOUN,31,0.23369363111731714
aberration,PROPN,1,0.0075385042295908755
aberrational,ADJ,1,0.0075385042295908755
abet,NOUN,1,0.0075385042295908755
abet,PROPN,1,0.0075385042295908755
abet,VERB,25,0.1884626057397719
abetter,PROPN,1,0.0075385042295908755
abetting,NOUN,1,0.0075385042295908755
abeyance,NOUN,1,0.0075385042295908755
abhominable,ADJ,1,0.0075385042295908755
abhor,NOUN,5,0.03769252114795438
abhor,PROPN,1,0.0075385042295908755
abhor,VERB,14,0.10553905921427226
abhorred,ADJ,1,0.0075385042295908755
abhorrence,NOUN,3,0.022615512688772627
abhorrent,ADJ,1,0.0075385042295908755
abhorrent,NOUN,4,0.030154016918363502
abhorrent,PROPN,1,0.0075385042295908755
abid,PROPN,1,0.0075385042295908755
abide,NOUN,2,0.015077008459181751
abide,VERB,88,0.663388372203997
abiding,ADJ,2,0.015077008459181751
abiding,NOUN,4,0.030154016918363502
abidjan,PROPN,2,0.015077008459181751
abies,PROPN,1,0.0075385042295908755
abigail,PROPN,24,0.180924101510181
abilene,PROPN,23,0.17338559728059014
ability,NOUN,1995,15.039315938033797
abiotic,ADJ,27,0.20353961419895364
abiotically,ADV,1,0.0075385042295908755
abir,PROPN,8,0.060308033836727004
abit,PROPN,1,0.0075385042295908755
abject,ADJ,15,0.11307756344386313
abject,NOUN,3,0.022615512688772627
abject,PROPN,1,0.0075385042295908755
abject,VERB,3,0.022615512688772627
abjection,NOUN,3,0.022615512688772627
abjectly,ADV,5,0.03769252114795438
abjectness,NOUN,1,0.0075385042295908755
abjure,NOUN,2,0.015077008459181751
abjure,VERB,7,0.05276952960713613
ablaqueate,PROPN,1,0.0075385042295908755
ablaqueate,VERB,1,0.0075385042295908755
ablate,NOUN,1,0.0075385042295908755
ablate,VERB,29,0.2186166226581354
ablation,NOUN,73,0.5503108087601339
ablation,PROPN,1,0.0075385042295908755
ablations,PROPN,1,0.0075385042295908755
ablative,ADJ,2,0.015077008459181751
ablaze,ADJ,6,0.04523102537754525
ablaze,ADV,5,0.03769252114795438
ablaze,PROPN,1,0.0075385042295908755
able,ADJ,3471,26.16614818090993
able,NOUN,1,0.0075385042295908755
able,PROPN,8,0.060308033836727004
able,VERB,3,0.022615512688772627
abloom,ADJ,1,0.0075385042295908755
ablute,VERB,1,0.0075385042295908755
ablution,NOUN,9,0.06784653806631788
ably,ADV,12,0.0904620507550905
abm,PROPN,12,0.0904620507550905
abnaki,PROPN,2,0.015077008459181751
abnegate,VERB,1,0.0075385042295908755
abnegating,NOUN,1,0.0075385042295908755
abnegation,NOUN,5,0.03769252114795438
abner,PROPN,12,0.0904620507550905
abnormal,ADJ,270,2.0353961419895366
abnormal,NOUN,1,0.0075385042295908755
abnormal,PROPN,4,0.030154016918363502
abnormality,NOUN,294,2.2163202434997173
abnormally,ADV,27,0.20353961419895364
abo,PRON,1,0.0075385042295908755
aboard,ADP,104,0.784004439877451
aboard,ADV,10,0.07538504229590876
abode,NOUN,9,0.06784653806631788
abode,PROPN,1,0.0075385042295908755
abogado,PROPN,1,0.0075385042295908755
abolish,ADJ,4,0.030154016918363502
abolish,PROPN,2,0.015077008459181751
abolish,VERB,211,1.5906243924436747
abolishes,PROPN,1,0.0075385042295908755
abolition,NOUN,47,0.3543096987907712
abolition,PROPN,2,0.015077008459181751
abolitionism,NOUN,2,0.015077008459181751
abolitionist,ADJ,1,0.0075385042295908755
abolitionist,NOUN,20,0.1507700845918175
abolitionist,VERB,1,0.0075385042295908755
abolitionists,PROPN,1,0.0075385042295908755
abominable,ADJ,8,0.060308033836727004
abominable,PROPN,1,0.0075385042295908755
abominably,ADV,2,0.015077008459181751
abominate,VERB,1,0.0075385042295908755
abomination,NOUN,11,0.08292354652549963
abomination,PROPN,1,0.0075385042295908755
aborigen,PROPN,1,0.0075385042295908755
aboriginal,ADJ,41,0.3090786734132259
aboriginal,PROPN,14,0.10553905921427226
aborigine,NOUN,7,0.05276952960713613
aborigine,PROPN,1,0.0075385042295908755
aborigines,PROPN,21,0.15830858882140839
abort,NOUN,5,0.03769252114795438
abort,PROPN,1,0.0075385042295908755
abort,VERB,27,0.20353961419895364
aborted,ADJ,9,0.06784653806631788
abortifacient,NOUN,1,0.0075385042295908755
aborting,PROPN,1,0.0075385042295908755
abortion,ADJ,54,0.4070792283979073
abortion,NOUN,612,4.6135645885096155
abortion,PROPN,17,0.12815457190304488
abortionist,ADJ,1,0.0075385042295908755
abortionist,NOUN,6,0.04523102537754525
abortions,PROPN,1,0.0075385042295908755
abortive,ADJ,27,0.20353961419895364
abortive,PROPN,1,0.0075385042295908755
abortus,NOUN,33,0.2487706395764989
abortus,PROPN,3,0.022615512688772627
abound,ADJ,1,0.0075385042295908755
abound,NOUN,23,0.17338559728059014
abound,PROPN,6,0.04523102537754525
abound,VERB,71,0.5352338003009521
about,ADJ,227,1.7112404601171287
about,ADP,28470,214.62121541645223
about,ADV,5034,37.948830291760466
about,INTJ,2,0.015077008459181751
about,NOUN,29,0.2186166226581354
about,NUM,2,0.015077008459181751
about,PROPN,6,0.04523102537754525
about,PUNCT,1,0.0075385042295908755
about,VERB,1,0.0075385042295908755
about,X,2,0.015077008459181751
above,ADJ,326,2.4575523788466254
above,ADP,1615,12.174684330789264
above,ADV,1238,9.332668236233504
above,NOUN,4,0.030154016918363502
above,PROPN,6,0.04523102537754525
aboveboard,ADJ,2,0.015077008459181751
aboveboard,PROPN,1,0.0075385042295908755
abox,NOUN,1,0.0075385042295908755
abracadabra,NOUN,2,0.015077008459181751
abraham,PROPN,101,0.7613889271886785
abrash,PROPN,1,0.0075385042295908755
abrasion,NOUN,4,0.030154016918363502
abrasive,ADJ,13,0.09800055498468138
abrasive,PROPN,1,0.0075385042295908755
abrazo,NOUN,1,0.0075385042295908755
abreaction,NOUN,1,0.0075385042295908755
abreast,ADJ,20,0.1507700845918175
abreast,ADP,2,0.015077008459181751
abreast,ADV,10,0.07538504229590876
abreast,NOUN,2,0.015077008459181751
abreast,PROPN,1,0.0075385042295908755
abri,PROPN,1,0.0075385042295908755
abridge,NOUN,1,0.0075385042295908755
abridge,PROPN,1,0.0075385042295908755
abridge,VERB,17,0.12815457190304488
abridged,ADJ,3,0.022615512688772627
abridged,PROPN,1,0.0075385042295908755
abridgement,NOUN,1,0.0075385042295908755
abridgment,NOUN,2,0.015077008459181751
abridgment,PROPN,1,0.0075385042295908755
abroad,ADV,295,2.223858747729308
abroad,PROPN,1,0.0075385042295908755
abrogate,ADJ,1,0.0075385042295908755
abrogate,VERB,32,0.24123213534690802
abrogation,NOUN,6,0.04523102537754525
abrotanum,PROPN,3,0.022615512688772627
abrupt,ADJ,47,0.3543096987907712
abruptly,ADV,51,0.3844637157091347
abruptness,NOUN,1,0.0075385042295908755
abruzzi,PROPN,1,0.0075385042295908755
abscess,NOUN,18,0.13569307613263576
abscesses,PROPN,1,0.0075385042295908755
abscissa,PROPN,3,0.022615512688772627
abscond,VERB,3,0.022615512688772627
abscondment,NOUN,1,0.0075385042295908755
absence,NOUN,1353,10.199596222636455
absence,PROPN,2,0.015077008459181751
absence,VERB,3,0.022615512688772627
absent,ADJ,356,2.683707505734352
absent,ADV,1,0.0075385042295908755
absent,NOUN,2,0.015077008459181751
absent,PROPN,24,0.180924101510181
absent,VERB,8,0.060308033836727004
absentee,NOUN,37,0.2789246564948624
absentee,PROPN,4,0.030154016918363502
absentee,VERB,5,0.03769252114795438
absenteeism,NOUN,16,0.12061606767345401
absenteeism,PROPN,1,0.0075385042295908755
absentia,NOUN,1,0.0075385042295908755
absentia,PROPN,4,0.030154016918363502
absently,ADV,2,0.015077008459181751
absentmindedly,ADV,1,0.0075385042295908755
absinthe,ADV,1,0.0075385042295908755
absinthe,DET,1,0.0075385042295908755
absinthium,NOUN,9,0.06784653806631788
absinthium,PROPN,4,0.030154016918363502
absit,PROPN,1,0.0075385042295908755
absolute,ADJ,569,4.289408906637208
absolute,NOUN,9,0.06784653806631788
absolute,PROPN,38,0.28646316072445327
absolute,PUNCT,4,0.030154016918363502
absolute,VERB,4,0.030154016918363502
absolutely,ADV,890,6.709268764335879
absolutely,NOUN,1,0.0075385042295908755
absoluteness,NOUN,4,0.030154016918363502
absolution,NOUN,7,0.05276952960713613
absolutism,NOUN,8,0.060308033836727004
absolutist,ADJ,1,0.0075385042295908755
absolutist,NOUN,13,0.09800055498468138
absolve,VERB,16,0.12061606767345401
absolver,NOUN,1,0.0075385042295908755
absorb,PROPN,1,0.0075385042295908755
absorb,VERB,278,2.0957041758262633
absorbable,ADJ,3,0.022615512688772627
absorbance,NOUN,134,1.0101595667651773
absorbance,PROPN,10,0.07538504229590876
absorbency,NOUN,8,0.060308033836727004
absorbency,PROPN,1,0.0075385042295908755
absorbent,ADJ,6,0.04523102537754525
absorbent,NOUN,4,0.030154016918363502
absorbent,PROPN,1,0.0075385042295908755
absorber,NOUN,91,0.6860038848927696
absorber,PROPN,3,0.022615512688772627
absorbing,ADJ,1,0.0075385042295908755
absorbing,NOUN,2,0.015077008459181751
absorbs,PROPN,1,0.0075385042295908755
absorption,NOUN,276,2.0806271673670818
absorption,PROPN,2,0.015077008459181751
absorptive,ADJ,3,0.022615512688772627
absorptivity,NOUN,1,0.0075385042295908755
abstain,NOUN,1,0.0075385042295908755
abstain,VERB,13,0.09800055498468138
abstainer,NOUN,3,0.022615512688772627
abstaining,NOUN,2,0.015077008459181751
abstemious,ADJ,2,0.015077008459181751
abstemiousness,NOUN,1,0.0075385042295908755
abstention,NOUN,3,0.022615512688772627
abstinence,ADJ,1,0.0075385042295908755
abstinence,ADV,1,0.0075385042295908755
abstinence,NOUN,36,0.2713861522652715
abstinence,PROPN,1,0.0075385042295908755
abstinent,ADJ,2,0.015077008459181751
abstinent,PROPN,1,0.0075385042295908755
abstract,ADJ,152,1.145852642897813
abstract,NOUN,95,0.7161579018111331
abstract,PROPN,32,0.24123213534690802
abstract,VERB,35,0.26384764803568067
abstracting,PROPN,1,0.0075385042295908755
abstraction,NOUN,54,0.4070792283979073
abstraction,PROPN,1,0.0075385042295908755
abstractionist,NOUN,1,0.0075385042295908755
abstractly,ADV,5,0.03769252114795438
abstractness,NOUN,1,0.0075385042295908755
abstractor,NOUN,3,0.022615512688772627
abstracts,PROPN,5,0.03769252114795438
abstruse,ADJ,1,0.0075385042295908755
abstruse,NOUN,9,0.06784653806631788
abstruse,VERB,1,0.0075385042295908755
absurd,ADJ,175,1.3192382401784033
absurd,ADV,1,0.0075385042295908755
absurd,PROPN,1,0.0075385042295908755
absurd,VERB,2,0.015077008459181751
absurder,PROPN,1,0.0075385042295908755
absurdism,NOUN,1,0.0075385042295908755
absurdist,NOUN,10,0.07538504229590876
absurdity,NOUN,52,0.3920022199387255
absurdity,PROPN,2,0.015077008459181751
absurdly,ADV,27,0.20353961419895364
absurdum,NOUN,2,0.015077008459181751
abt,PROPN,8,0.060308033836727004
abu,PROPN,156,1.1760066598161767
abundance,NOUN,415,3.1284792552802134
abundance,PROPN,6,0.04523102537754525
abundant,ADJ,274,2.0655501589078997
abundant,NOUN,1,0.0075385042295908755
abundant,PROPN,2,0.015077008459181751
abundantly,ADV,42,0.31661717764281677
abuse,NOUN,669,5.043259329596296
abuse,PROPN,81,0.610618842596861
abuse,VERB,200,1.507700845918175
abused,ADJ,22,0.16584709305099926
abused,PROPN,2,0.015077008459181751
abuser,NOUN,35,0.26384764803568067
abusers,PROPN,4,0.030154016918363502
abusing,NOUN,1,0.0075385042295908755
abusive,ADJ,71,0.5352338003009521
abusive,NOUN,2,0.015077008459181751
abusive,PROPN,1,0.0075385042295908755
abut,ADP,4,0.030154016918363502
abut,ADV,1,0.0075385042295908755
abut,CCONJ,1,0.0075385042295908755
abut,VERB,7,0.05276952960713613
abutment,NOUN,1,0.0075385042295908755
abuzz,ADJ,1,0.0075385042295908755
abuzz,ADV,2,0.015077008459181751
abwab,PROPN,1,0.0075385042295908755
abysmal,ADJ,16,0.12061606767345401
abysmally,ADV,2,0.015077008459181751
abyss,NOUN,12,0.0904620507550905
abyss,PROPN,2,0.015077008459181751
abyssinia,PROPN,1,0.0075385042295908755
abyssinian,PROPN,1,0.0075385042295908755
acacia,NOUN,4,0.030154016918363502
acacia,PROPN,3,0.022615512688772627
academe,NOUN,5,0.03769252114795438
academe,PROPN,4,0.030154016918363502
academe,VERB,1,0.0075385042295908755
academia,NOUN,43,0.3241556818724077
academia,PROPN,2,0.015077008459181751
academic,ADJ,524,3.9501762163056187
academic,ADV,3,0.022615512688772627
academic,NOUN,103,0.7764659356478602
academic,PROPN,87,0.6558498679744061
academically,ADV,22,0.16584709305099926
academician,NOUN,5,0.03769252114795438
academician,PROPN,1,0.0075385042295908755
academicians,PROPN,3,0.022615512688772627
academics,PROPN,2,0.015077008459181751
academie,PROPN,13,0.09800055498468138
academies,PROPN,3,0.022615512688772627
academy,NOUN,48,0.361848203020362
academy,PROPN,247,1.8620105447089463
acadia,PROPN,7,0.05276952960713613
acadian,ADJ,4,0.030154016918363502
acadian,PROPN,2,0.015077008459181751
acanthaceae,PROPN,1,0.0075385042295908755
acanthus,PROPN,3,0.022615512688772627
acapulco,PROPN,89,0.670926876433588
acarbose,PROPN,1,0.0075385042295908755
accademia,PROPN,10,0.07538504229590876
accadian,ADJ,1,0.0075385042295908755
accede,VERB,25,0.1884626057397719
accelerate,ADJ,1,0.0075385042295908755
accelerate,NOUN,2,0.015077008459181751
accelerate,VERB,199,1.5001623416885843
accelerated,ADJ,56,0.42215623685708903
accelerated,PROPN,1,0.0075385042295908755
acceleration,NOUN,54,0.4070792283979073
acceleration,PROPN,2,0.015077008459181751
accelerator,NOUN,4,0.030154016918363502
accelerator,PROPN,1,0.0075385042295908755
accelerometer,NOUN,5,0.03769252114795438
accent,ADJ,4,0.030154016918363502
accent,NOUN,216,1.6283169135916291
accent,PROPN,6,0.04523102537754525
accent,VERB,13,0.09800055498468138
accent,X,1,0.0075385042295908755
accented,ADJ,2,0.015077008459181751
accents,PROPN,2,0.015077008459181751
accentuate,VERB,36,0.2713861522652715
accept,NOUN,1,0.0075385042295908755
accept,PROPN,1,0.0075385042295908755
accept,VERB,1521,11.466064933207722
acceptability,NOUN,42,0.31661717764281677
acceptability,PROPN,7,0.05276952960713613
acceptable,ADJ,379,2.857093103014942
acceptable,PROPN,3,0.022615512688772627
acceptable,VERB,1,0.0075385042295908755
acceptably,ADV,5,0.03769252114795438
acceptance,NOUN,227,1.7112404601171287
acceptance,PROPN,13,0.09800055498468138
acceptance,VERB,1,0.0075385042295908755
accepted,ADJ,40,0.301540169183635
accepted,PROPN,9,0.06784653806631788
accepter,NOUN,1,0.0075385042295908755
accepting,ADJ,3,0.022615512688772627
acceptive,ADJ,1,0.0075385042295908755
acceptor,NOUN,78,0.5880033299080883
access,NOUN,1817,13.697462185166621
access,PROPN,138,1.0403135836835409
access,VERB,211,1.5906243924436747
accessed,PROPN,1,0.0075385042295908755
accessibility,NOUN,65,0.49000277492340694
accessibility,PROPN,2,0.015077008459181751
accessible,ADJ,328,2.4726293873058074
accessibly,ADV,3,0.022615512688772627
accessing,NOUN,2,0.015077008459181751
accession,NOUN,324,2.442475370387444
accession,PROPN,56,0.42215623685708903
accession,VERB,2,0.015077008459181751
accessit,PROPN,1,0.0075385042295908755
accessor,NOUN,1,0.0075385042295908755
accessorize,VERB,3,0.022615512688772627
accessory,ADJ,17,0.12815457190304488
accessory,NOUN,72,0.542772304530543
accessory,PROPN,5,0.03769252114795438
accident,ADJ,2,0.015077008459181751
accident,NOUN,523,3.942637712076028
accident,PROPN,33,0.2487706395764989
accidental,ADJ,73,0.5503108087601339
accidental,PROPN,17,0.12815457190304488
accidentally,ADV,89,0.670926876433588
accidently,ADV,2,0.015077008459181751
accidents,PROPN,2,0.015077008459181751
accipitrine,PROPN,1,0.0075385042295908755
acclaim,NOUN,30,0.22615512688772627
acclaim,PROPN,7,0.05276952960713613
acclaim,VERB,54,0.4070792283979073
acclaimed,ADJ,14,0.10553905921427226
acclaimed,VERB,1,0.0075385042295908755
acclamation,NOUN,2,0.015077008459181751
acclimate,VERB,20,0.1507700845918175
acclimating,NOUN,1,0.0075385042295908755
acclimation,NOUN,22,0.16584709305099926
acclimatization,NOUN,2,0.015077008459181751
acclimatize,PROPN,1,0.0075385042295908755
acclimatize,VERB,4,0.030154016918363502
accolade,NOUN,21,0.15830858882140839
accommodate,ADJ,2,0.015077008459181751
accommodate,NOUN,2,0.015077008459181751
accommodate,PROPN,1,0.0075385042295908755
accommodate,VERB,223,1.6810864431987653
accommodating,ADJ,6,0.04523102537754525
accommodating,NOUN,2,0.015077008459181751
accommodatingly,ADV,1,0.0075385042295908755
accommodation,NOUN,152,1.145852642897813
accommodationist,ADJ,2,0.015077008459181751
accommodations,PROPN,3,0.022615512688772627
accomodate,VERB,1,0.0075385042295908755
accompaniment,NOUN,13,0.09800055498468138
accompany,NOUN,4,0.030154016918363502
accompany,PROPN,6,0.04523102537754525
accompany,VERB,636,4.794488690019797
accompanying,ADJ,32,0.24123213534690802
accompanying,NOUN,2,0.015077008459181751
accompanying,PROPN,1,0.0075385042295908755
accompli,X,5,0.03769252114795438
accomplice,NOUN,29,0.2186166226581354
accomplis,PROPN,1,0.0075385042295908755
accomplish,ADJ,1,0.0075385042295908755
accomplish,NOUN,2,0.015077008459181751
accomplish,PROPN,1,0.0075385042295908755
accomplish,VERB,478,3.6034050217444387
accomplished,ADJ,28,0.21107811842854451
accomplishment,NOUN,186,1.402161786703903
accomplishments,PROPN,4,0.030154016918363502
accord,NOUN,135,1.0176980709947683
accord,PROPN,39,0.2940016649540442
accord,VERB,3520,26.535534888159884
